t strain*1e23
-0.37142 -56.4
-0.37118 -55.8
-0.37093 -55.1
-0.37069 -54.3
-0.37045 -53.5
-0.3702 -52.6
-0.36996 -51.6
-0.36971 -50.5
-0.36947 -49.3
-0.36922 -48.1
-0.36898 -46.8
-0.36874 -45.4
-0.36849 -44.0
-0.36825 -42.5
-0.368 -40.9
-0.36776 -39.2
-0.36752 -37.6
-0.36727 -35.8
-0.36703 -34.0
-0.36678 -32.1
-0.36654 -30.2
-0.36629 -28.3
-0.36605 -26.3
-0.36581 -24.3
-0.36556 -22.2
-0.36532 -20.1
-0.36507 -18.0
-0.36483 -15.8
-0.36459 -13.6
-0.36434 -11.4
-0.3641 -9.2
-0.36385 -6.9
-0.36361 -4.7
-0.36337 -2.4
-0.36312 -0.2
-0.36288 2.1
-0.36263 4.4
-0.36239 6.6
-0.36214 8.9
-0.3619 11.1
-0.36166 13.4
-0.36141 15.6
-0.36117 17.7
-0.36092 19.9
-0.36068 22.0
-0.36044 24.1
-0.36019 26.2
-0.35995 28.2
-0.3597 30.2
-0.35946 32.1
-0.35921 34.0
-0.35897 35.9
-0.35873 37.6
-0.35848 39.4
-0.35824 41.1
-0.35799 42.7
-0.35775 44.2
-0.35751 45.7
-0.35726 47.1
-0.35702 48.4
-0.35677 49.7
-0.35653 50.9
-0.35629 52.0
-0.35604 53.1
-0.3558 54.0
-0.35555 54.9
-0.35531 55.7
-0.35506 56.4
-0.35482 57.1
-0.35458 57.6
-0.35433 58.0
-0.35409 58.4
-0.35384 58.7
-0.3536 58.9
-0.35336 59.0
-0.35311 59.0
-0.35287 58.9
-0.35262 58.7
-0.35238 58.5
-0.35213 58.1
-0.35189 57.7
-0.35165 57.1
-0.3514 56.5
-0.35116 55.8
-0.35091 55.0
-0.35067 54.2
-0.35043 53.2
-0.35018 52.2
-0.34994 51.1
-0.34969 49.9
-0.34945 48.6
-0.34921 47.2
-0.34896 45.8
-0.34872 44.3
-0.34847 42.8
-0.34823 41.1
-0.34798 39.4
-0.34774 37.7
-0.3475 35.9
-0.34725 34.0
-0.34701 32.1
-0.34676 30.1
-0.34652 28.1
-0.34628 26.0
-0.34603 23.9
-0.34579 21.8
-0.34554 19.6
-0.3453 17.4
-0.34505 15.1
-0.34481 12.9
-0.34457 10.6
-0.34432 8.3
-0.34408 5.9
-0.34383 3.6
-0.34359 1.3
-0.34335 -1.1
-0.3431 -3.4
-0.34286 -5.7
-0.34261 -8.0
-0.34237 -10.4
-0.34212 -12.7
-0.34188 -14.9
-0.34164 -17.2
-0.34139 -19.4
-0.34115 -21.6
