t strain*1e23
-0.51622 -31.3
-0.51598 -30.9
-0.51573 -30.6
-0.51549 -30.2
-0.51524 -29.8
-0.515 -29.3
-0.51476 -28.8
-0.51451 -28.2
-0.51427 -27.6
-0.51402 -26.9
-0.51378 -26.2
-0.51353 -25.5
-0.51329 -24.7
-0.51305 -23.9
-0.5128 -23.1
-0.51256 -22.2
-0.51231 -21.3
-0.51207 -20.4
-0.51183 -19.4
-0.51158 -18.4
-0.51134 -17.4
-0.51109 -16.3
-0.51085 -15.2
-0.5106 -14.1
-0.51036 -13.0
-0.51012 -11.9
-0.50987 -10.7
-0.50963 -9.5
-0.50938 -8.4
-0.50914 -7.1
-0.5089 -5.9
-0.50865 -4.7
-0.50841 -3.5
-0.50816 -2.2
-0.50792 -1.0
-0.50768 0.2
-0.50743 1.5
-0.50719 2.7
-0.50694 4.0
-0.5067 5.2
-0.50645 6.4
-0.50621 7.6
-0.50597 8.9
-0.50572 10.0
-0.50548 11.2
-0.50523 12.4
-0.50499 13.5
-0.50475 14.7
-0.5045 15.8
-0.50426 16.8
-0.50401 17.9
-0.50377 18.9
-0.50352 19.9
-0.50328 20.9
-0.50304 21.8
-0.50279 22.7
-0.50255 23.6
-0.5023 24.4
-0.50206 25.2
-0.50182 26.0
-0.50157 26.7
-0.50133 27.4
-0.50108 28.1
-0.50084 28.7
-0.5006 29.2
-0.50035 29.7
-0.50011 30.2
-0.49986 30.6
-0.49962 31.0
-0.49937 31.4
-0.49913 31.6
-0.49889 31.9
-0.49864 32.1
-0.4984 32.2
-0.49815 32.3
-0.49791 32.4
-0.49767 32.4
-0.49742 32.3
-0.49718 32.2
-0.49693 32.1
-0.49669 31.9
-0.49644 31.6
-0.4962 31.3
-0.49596 31.0
-0.49571 30.6
-0.49547 30.2
-0.49522 29.7
-0.49498 29.2
-0.49474 28.6
-0.49449 28.0
-0.49425 27.3
-0.494 26.6
-0.49376 25.9
-0.49352 25.1
-0.49327 24.3
-0.49303 23.4
-0.49278 22.5
-0.49254 21.6
-0.49229 20.7
-0.49205 19.7
-0.49181 18.6
-0.49156 17.6
-0.49132 16.5
-0.49107 15.4
-0.49083 14.3
-0.49059 13.1
-0.49034 12.0
-0.4901 10.8
-0.48985 9.6
-0.48961 8.4
-0.48936 7.1
-0.48912 5.9
-0.48888 4.6
-0.48863 3.4
-0.48839 2.1
-0.48814 0.8
-0.4879 -0.4
-0.48766 -1.7
-0.48741 -3.0
-0.48717 -4.2
-0.48692 -5.5
-0.48668 -6.7
-0.48643 -8.0
-0.48619 -9.2
-0.48595 -10.4
-0.4857 -11.6
-0.48546 -12.8
-0.48521 -14.0
-0.48497 -15.1
-0.48473 -16.2
-0.48448 -17.3
-0.48424 -18.4
-0.48399 -19.4
-0.48375 -20.5
-0.48351 -21.4
-0.48326 -22.4
-0.48302 -23.3
-0.48277 -24.2
-0.48253 -25.0
-0.48228 -25.8
-0.48204 -26.6
-0.4818 -27.3
-0.48155 -28.0
-0.48131 -28.6
-0.48106 -29.2
-0.48082 -29.8
-0.48058 -30.3
-0.48033 -30.7
-0.48009 -31.1
-0.47984 -31.5
-0.4796 -31.8
-0.47935 -32.1
-0.47911 -32.3
-0.47887 -32.5
-0.47862 -32.6
-0.47838 -32.6
-0.47813 -32.7
-0.47789 -32.6
-0.47765 -32.5
-0.4774 -32.4
-0.47716 -32.2
-0.47691 -32.0
-0.47667 -31.7
-0.47643 -31.3
-0.47618 -31.0
-0.47594 -30.5
-0.47569 -30.0
-0.47545 -29.5
-0.4752 -28.9
-0.47496 -28.3
-0.47472 -27.6
-0.47447 -26.9
-0.47423 -26.2
-0.47398 -25.4
-0.47374 -24.6
-0.4735 -23.7
-0.47325 -22.8
-0.47301 -21.8
-0.47276 -20.9
-0.47252 -19.8
-0.47227 -18.8
-0.47203 -17.7
-0.47179 -16.6
-0.47154 -15.5
-0.4713 -14.4
-0.47105 -13.2
-0.47081 -12.0
-0.47057 -10.8
-0.47032 -9.5
-0.47008 -8.3
-0.46983 -7.0
-0.46959 -5.8
-0.46935 -4.5
-0.4691 -3.2
-0.46886 -1.9
-0.46861 -0.6
-0.46837 0.7
-0.46812 2.0
-0.46788 3.3
-0.46764 4.6
-0.46739 5.9
-0.46715 7.2
-0.4669 8.4
-0.46666 9.7
-0.46642 10.9
-0.46617 12.2
-0.46593 13.4
-0.46568 14.5
-0.46544 15.7
-0.46519 16.8
-0.46495 17.9
-0.46471 19.0
-0.46446 20.1
-0.46422 21.1
-0.46397 22.1
-0.46373 23.0
-0.46349 24.0
-0.46324 24.8
-0.463 25.7
-0.46275 26.5
-0.46251 27.2
-0.46227 28.0
-0.46202 28.6
-0.46178 29.3
-0.46153 29.8
-0.46129 30.4
-0.46104 30.9
-0.4608 31.3
-0.46056 31.7
-0.46031 32.0
-0.46007 32.3
-0.45982 32.5
-0.45958 32.7
-0.45934 32.9
-0.45909 32.9
-0.45885 33.0
-0.4586 32.9
-0.45836 32.9
-0.45811 32.7
-0.45787 32.5
-0.45763 32.3
-0.45738 32.0
-0.45714 31.7
-0.45689 31.3
-0.45665 30.8
-0.45641 30.4
-0.45616 29.8
