# t,strain * 1e23
-1.28967,86.7
-1.28955,85.7
-1.28943,84.7
-1.28931,83.6
-1.28918,82.5
-1.28906,81.3
-1.28894,80.1
-1.28882,78.8
-1.2887,77.6
-1.28857,76.3
-1.28845,74.9
-1.28833,73.5
-1.28821,72.1
-1.28809,70.6
-1.28796,69.2
-1.28784,67.6
-1.28772,66.1
-1.2876,64.5
-1.28748,62.9
-1.28735,61.2
-1.28723,59.5
-1.28711,57.8
-1.28699,56.1
-1.28687,54.3
-1.28674,52.5
-1.28662,50.7
-1.2865,48.9
-1.28638,47
-1.28625,45.1
-1.28613,43.2
-1.28601,41.2
-1.28589,39.3
-1.28577,37.3
-1.28564,35.3
-1.28552,33.3
-1.2854,31.3
-1.28528,29.2
-1.28516,27.2
-1.28503,25.1
-1.28491,23
-1.28479,20.9
-1.28467,18.8
-1.28455,16.6
-1.28442,14.5
-1.2843,12.4
-1.28418,10.2
-1.28406,8.1
-1.28394,5.9
-1.28381,3.7
-1.28369,1.5
-1.28357,-0.6
-1.28345,-2.8
-1.28333,-5
-1.2832,-7.2
-1.28308,-9.3
-1.28296,-11.5
-1.28284,-13.7
-1.28271,-15.8
-1.28259,-18
-1.28247,-20.2
-1.28235,-22.3
-1.28223,-24.4
-1.2821,-26.6
-1.28198,-28.7
-1.28186,-30.8
-1.28174,-32.9
-1.28162,-35
-1.28149,-37
-1.28137,-39.1
-1.28125,-41.1
-1.28113,-43.2
-1.28101,-45.2
-1.28088,-47.1
-1.28076,-49.1
-1.28064,-51
-1.28052,-53
-1.2804,-54.9
-1.28027,-56.7
-1.28015,-58.6
-1.28003,-60.4
-1.27991,-62.2
-1.27979,-64
-1.27966,-65.7
-1.27954,-67.4
-1.27942,-69.1
-1.2793,-70.7
-1.27917,-72.4
-1.27905,-74
-1.27893,-75.5
-1.27881,-77
-1.27869,-78.5
-1.27856,-80
-1.27844,-81.4
-1.27832,-82.8
-1.2782,-84.1
-1.27808,-85.4
-1.27795,-86.7
-1.27783,-87.9
-1.27771,-89.1
-1.27759,-90.3
-1.27747,-91.4
-1.27734,-92.5
